index	table_id	annotator_id	premise	hypothesis	label
534	T763	GW6	 David Hasselhoff was born as David Michael Hasselhoff ,  (1952-07-17) July 17, 1952 (age 66) , Baltimore, Maryland, U.S..  The years active of David Hasselhoff is 1973-present.  The spouse(s) of David Hasselhoff are Catherine Hickland , ( m. 1984;  div. 1989) ,  Pamela Bach , ( m. 1989;  div. 2006) ,  Hayley Roberts ( m. 2018).  The number of children of David Hasselhoff are 2, including Hayley Hasselhoff.  	David Hasselhoff had five wives in the eighties.	0
184	T392	GW27	 The origin of Jamiroquai is London, England.  The years active of Jamiroquai was on 1992 - present.  The labels of Jamiroquai are Acid Jazz , Sony Soho  , Columbia , Work , Epic , Universal , Mercury , Virgin EMI.  The associated acts of Jamiroquai are Brand New Heavies , Radio Silence. 	Jamiroquai originated in London and has been active since 1604.	0
1109	T1265	GW28	   The associated acts of Brian MayCBE are Smile, Queen, Queen + Paul Rodgers, Robbie Williams, Queen + Adam Lambert, Kerry Ellis.  The birth name of Brian MayCBE is Brian Harold May.  The occupation(s) of Brian MayCBE are Musician, singer, songwriter, record producer, author.  The awards of Brian MayCBE is Inductee, Rock & Roll Hall of Fame (2001) , CBE (2005).   	Brian Ma'ys scientific achievements madf him faomus.	0
824	T1319	GW22	 The rear lcd monitor of General is 3.0-inch (76 mm), VGA resolution, 307,200 pixels (921,600 dots).  The sensor of General is 36 mm × 23.9 mm  CMOS.  The lens of General is Interchangeable, Nikon F mount.  The continuous shooting of General is Approx. 5.0 frame/s, 8.0 frame/s w/battery grip. 	Nikon D700 contains 1.0 inch, VGA resolution rear LCD monitor.	0
1483	T1601	GW1	   Jimmy Eat World is a musician.  The origin of Jimmy Eat World is Mesa, Arizona, U.S..  The genres of Jimmy Eat World are Alternative rock, emo pop, emo,  power pop, pop punk.  The labels of Jimmy Eat World are Wooden Blue, Capitol, Fueled by Ramen, Big Wheel Recreation, DreamWorks, Better Looking, Interscope, Western Tread, Geffen, DGC, RCA, Dine Alone.   	Jimmy Eat World lade omre music on the apitol lbael thPn rDreamworks.	1
1572	T1668	GW86	   The jewish of Jerusalem is 64%.  The arab of Jerusalem is 35%.  The time zone of Jerusalem is UTC+02:00 (IST, PST).  The area code of Jerusalem is +972-2.   	The majority Rf the populaton of Jerusalm conissts of Jws.	2
1722	T1861	GW93	   Iceland  was extended home rule  on 1 February 1904.  Iceland  was sovereignty danish–icelandic act of union on 1 December 1918.  Iceland  was treaty of kiel ceded to denmark on 14 January 1814.  Iceland  was constitution and limited home rule minister for iceland appointed on 5 January 1874.   	Iceland got sovereignty ni 1940.	2
977	T2421	GW4	 The arabic of Hebron is الخليل.  The also spelled of Hebron is Ḥebron   (ISO 259-3)  ,  Al-Khalīl  (official) ,  Al-Ḫalīl  (unofficial).  The palestine grid of Hebron is 159/103.  The governorate of Hebron is Hebron.  	Hebron has been around for over 131 years.	1
1183	T2543	GW1	 The total area of Brazzaville Balazavile is 263.9 km2 (101.9 sq mi).  The elevation of Brazzaville Balazavile is 320 m (1,050 ft).  The density of Brazzaville Balazavile is 5,200/km 2  (13,000/sq mi).  The area code(s) of Brazzaville Balazavile is 242. 	Brazzaville's area code is over 116.	0
1106	T1837	GW84	 The budget of Hulk is $137 million.  In the box office, Hulk made $245.4 million.   The release date of Hulk is June 20, 2003.  The running time of Hulk is 138 minutes. 	Hulk was released over eleven years ago.	0
1428	T2517	GW119	 Memories of Underdevelopment was edited by Nelson Rodríguez.  Memories of Underdevelopment was directed by Tomás Gutiérrez Alea.  Memories of Underdevelopment was written by Tomás Gutiérrez Alea.  Memories of Underdevelopment was starring Sergio Corrieri , Daisy Granados. 	Memories of Underdevelopment is a 1509 Cuban film written and directed by Tomás Gutiérrez Alea.	0
398	T514	GW1	 Chvrches is a musician.  The also known as of Chvrches was on Churches (2011-2012).  The genres of Chvrches are Synth-pop, indietronica, indie pop.  The labels of Chvrches are Virgin, Goodbye, Glassnote, Virgin EMI. 	Chvrches has made music on more than 6 record labels.	0
1298	T1194	GW6	 Celtic Woman is a musician.  The origin of Celtic Woman is Ireland.  The genres of Celtic Woman are Celtic, Folk, New-Age Music, Christian, AC/Pop, Classical Crossover.  The labels of Celtic Woman is Manhattan. 	The Manhattan label has only signed one Irish band.	1
1281	T2280	GW1	 The megacity of Chennai, Madras is 7,088,000.  The density of Chennai, Madras is 17,000/km 2  (43,000/sq mi).  The metro area of Chennai, Madras is 8,653,521 , 8,917,749 (Extended UA).  The metro rank of Chennai, Madras is 4th. 	Chennai has over 6 million people.	0
1432	T1580	GW1	   The relatives of Kate Hudson are Oliver Hudson (brother), Wyatt Russell (half-brother), Mark Hudson (uncle), Brett Hudson (uncle), Sarah Hudson (cousin).   The spouse(s) of Kate Hudson is Chris Robinson ( m.  2000;  div.  2007).  The partner(s) of Kate Hudson are Matthew Bellamy (2010-2014), Danny Fujikawa (2017-present).  The number of children of Kate Hudson are 3.   	Kaet Hudson hao all three oL her children wtih Chrs Robinson.	1
533	T1728	GW4	   Kaput and Zosky: The Ultimate Obliterators is a movie.  The executive producers of Kaput and Zosky: The Ultimate Obliterators are Philippe Delarue, Paul Cabieux.  The distributor of Kaput and Zosky: The Ultimate Obliterators are Film Roman, Inc., Starz, Inc..  The production company of Kaput and Zosky: The Ultimate Obliterators are Futurikon, ToonCan Productions, Inc..    	Kaput and Zšsky: The Ultimate Obliterators had only one production company.	0
911	T2326	GW116	 Elvis Presley is a album.  Elvis Presley was released on March 23, 1956.  Elvis Presley was recorded on July 1954 to January 1956.  The length of Elvis Presley is 28:03. 	The album is 2 minutes in length.	0
