index	table_id	annotator_id	premise	hypothesis_wswap	label
5210	T1726	GW84	   The birth name of Josh Groban is Joshua Winslow Groban.  Josh Groban was born on ( 1981-02-27 )  February 27, 1981  (age 37)  Los Angeles, California, U.S..  The genres of Josh Groban are Easy listening, vocal, adult contemporary, operatic pop, pop rock, soft rock.  The occupation(s) of Josh Groban are Singer, songwriter, actor, record producers.   	Josh Groban was inside born of the US.	2
5688	T346	GW28	 Joanna Newsom was born as Joanna Caroline Newsom    ( 1982-01-18 )  January 18, 1982  (age 36)   Nevada City, California, U.S..  The occupation of Joanna Newsom are Singer , songwriter , musician , actress.  The spouse(s) of Joanna Newsom is Andy Samberg ( m.  2013).  The number of children of Joanna Newsom are 1. 	Joanna Newsom is mom and a married.	2
5691	T346	GW14	 Joanna Newsom was born as Joanna Caroline Newsom    ( 1982-01-18 )  January 18, 1982  (age 36)   Nevada City, California, U.S..  The residence of Joanna Newsom is Moorcrest, Beachwood Canyon, Los Angeles, California U.S. West Village, Manhattan, New York, U.S.  The labels of Joanna Newsom is Drag City.  The spouse(s) of Joanna Newsom is Andy Samberg ( m.  2013). 	Joanna Newsome born was on the West Coast of the United States.	2
7125	T1906	GW93	 Iggy Azalea is a musician.  The associated acts of Iggy Azalea are The Invisible Men, T.I., Diplo.  The occupation of Iggy Azalea are Rapper, singer, songwriter, model, television personality.  The genres of Iggy Azalea are Hip hop, electro-hop, pop-rap. 	Iggy Azalea music hip hop performs.	2
8853	T2228	GW19	   The frequency of Tetanus is 209,000 (2015).  The prognosis of Tetanus is 10% chance of death.  Tetanus was usual onset on 3-21 days following exposure.  The deaths of Tetanus is 56,700 (2015).    	In 2015, less than 1/2 the people who lockjaw contracted died from the disease.	2
21125	T1993	GW84	 Home Alone was directed by Chris Columbus.  Home Alone was produced by John Hughes.  Home Alone was written by John Hughes.  Home Alone was distributed by 20th Century Fox. 	Home Alone was produced and written by the same man.	2
8850	T2228	GW105	   The specialty of Tetanus is Infectious disease.  The prognosis of Tetanus is 10% chance of death.  Tetanus was usual onset on 3-21 days following exposure.  Tetanus was duration on Months.   	Tetanus is an disease infectious that can show up anywhere from a few days to almost a month.	2
8847	T2228	GW12	   The other names of Tetanus is Lockjaw.  The specialty of Tetanus is Infectious disease.  The symptoms of Tetanus is Muscle spasms, fever, headache.  The diagnostic method of Tetanus is Based on symptoms.   	Tetanus and Lockjaw are the disease same.	2
21128	T1993	GW93	 Home Alone was directed by Chris Columbus.  Home Alone was produced by John Hughes.  Home Alone was written by John Hughes.  Home Alone was edited by Raja Gosnell. 	The same produced person and wrote Home Alone.	2
17193	T1286	GW12	 Invisible Children, Inc. was founded on 2004.  The founder of Invisible Children, Inc. is Bobby Bailey, Laren Poole, Jason Russell.  The origins of Invisible Children, Inc. is San Diego, CA.  The key people of Invisible Children, Inc. is Ben Keesey, Laren Poole, Jason Russell. 	Bobby Bailey and Laren Poole founders were of the Invisible Children, Inc. in 2004.	2
21305	T2016	GW72	 Hope was born on October 2010 (age 8).  The years active of Hope was on 2010 - present.  Hope was known for Being the youngest dolphin at CMA, only 6 years old.  The website of Hope is www.SeeWinter.com.  	Hope is performing still today	2
5661	T327	GW28	 Charles Macintosh was born on 29 December 1766  Glasgow, Scotland.  Charles Macintosh died on 25 July 1843 (1843-07-25)  (aged 76)  Glasgow, Scotland.  The nationality of Charles Macintosh is Scottish.  The significant advance of Charles Macintosh was on Waterproof fabric  Invented the waterproof raincoat in 1824.  	Charles Macintosh in lived Scotland	2
17127	T1275	GW22	 The type of Precedence is Order of Merit with five classes, plus two palms and three medals.  Precedence was established on 15 October 1897 ,  1897 - 1908 (Order of Congo)  ,  1908 - present (as Belgian Order).  The awarded for of Precedence is Meritorious service to the Belgian state.  The next (lower) of Precedence is Order of Leopold II.  	Order of the Crown was awarded on 15 October 1897 and is established for Meritorious service to the Belgian state.	2
5664	T327	GW4	 Charles Macintosh is a person.  Charles Macintosh died on 25 July 1843 (1843-07-25)  (aged 76)  Glasgow, Scotland.  The occupation of Charles Macintosh is Engineer.  The significant advance of Charles Macintosh was on Waterproof fabric  Invented the waterproof raincoat in 1824.  	Charles Macintosh was able to make waterproof fabrics.	2
8874	T2231	GW1	   The risk factors of Type 1 diabetes is Family history, celiac disease.  The symptoms of Type 1 diabetes is Frequent urination, increased thirst, increased hunger, weight loss.  The usual onset of Type 1 diabetes is Relatively short period of time.  The causes of Type 1 diabetes is Body does not produce enough insulin.   	Type 1 diabetes has symptoms multiple.	2
5667	T327	GW27	 Charles Macintosh was born on 29 December 1766  Glasgow, Scotland.  Charles Macintosh died on 25 July 1843 (1843-07-25)  (aged 76)  Glasgow, Scotland.  The nationality of Charles Macintosh is Scottish.  The significant advance of Charles Macintosh was on Waterproof fabric  Invented the waterproof raincoat in 1824.  	Charles Macintosh was died and born in Scotland.	2
8007	T2134	GW4	   HTC Dream was battery on 1150 mAh , Internal rechargeable removable lithium-ion battery.  The display of HTC Dream is 320 x 480 px, 3.2 in (81 mm), HVGA, 65,536 color TFT-LCD at 180 pixels per inch (ppi).  The connectivity of HTC Dream are Wi-Fi (802.11b/g), Bluetooth 2.0+EDR, ExtUSB, A-GPS, Quad-band GSM 850 900 1800 1900 MHz GPRS/EDGE, Dual band UMTS 1700 2100 MHz HSDPA/HSUPA (US/Europe) (7.2/2 Mbit/s).   The cpu of HTC Dream is 528 MHz Qualcomm MSM7201A ARM11 processor.   	The HTC Dream has more than battery mAh of 1000.	2
