index	table_id	annotator_id	premise	hypothesis	label	unperturbed_hypothesis	original_label
714	T239	GW9	 The breed of Chicado V is Quarter Horse.  The discipline of Chicado V is Racing.  The sire of Chicado V is Chicaro Bill.  The maternal grandsire of Chicado V is St. Louis. 	Chicado V's parents were not both famous racehorses .	1	Chicado V's parents were both famous racehorses.	1
1547	T2714	GW86	 The elevation of Karaj is 1,312 m (4,304 ft).  The urban area of Karaj is 1,592,492 (2016 Census).  The metro area of Karaj is 1,973,470 (2016 Census).  The city area of Karaj is 162 km 2  (63 sq mi). 	The highest elevation point in Karaj is not approximately 1 , 312 m .	1	The highest elevation point in Karaj is approximately 1,312 m.	1
656	T564	GW12	 Danny Elfman was born on ( 1953-05-29 )  May 29, 1953  (age 65)  Los Angeles, California, U.S..  The genres of Danny Elfman are Rock, ska, new wave, film music, video game music.  The occupation(s) of Danny Elfman is Composer, singer, songwriter, record producer.  The years active of Danny Elfman was on 1972 - present. 	The singing career of Danny Elfman didn't begin in 1972 .	1	The singing career of Danny Elfman began in 1972.	1
341	T473	GW28	   Chris Brown is a musician.  Chris Brown was born as Christopher Maurice Brown ,  (1989-05-05) May 5, 1989 (age 29) , Tappahannock, Virginia, U.S..  The associated acts of Chris Brown are Benny Benassi, Big Sean, The Game, Jacquees, Joyner Lucas, Kevin McCall, Lil Wayne, Nicki Minaj, Rihanna, Sevyn Streeter, T-Pain, Tyga.  The occupation of Chris Brown are Singer, rapper, songwriter, dancer, actor, record producer.   	Chris Brown is not an American singer .	0	Chris Brown is an American singer.	2
1694	T2401	GW121	 The land area of Halifax is 5,490.35 km 2  (2,119.84 sq mi).  The urban area of Halifax is 234.72 km 2  (90.63 sq mi).  The highest elevation of Halifax is 241.9 m (793.6 ft).  The lowest elevation of Halifax is 0 m (0 ft).  	The lowest elevation of Halifax is not more than 1000 feet lower than its highest elevation .	0	The lowest elevation of Halifax is more than 1000 feet lower than its highest elevation.	2
1235	T1816	GW4	 I, Tonya was directed by Craig Gillespie.  I, Tonya was produced by Tom Ackerley, Margot Robbie, Steven Rogers, Bryan Unkeless.  I, Tonya was written by Steven Rogers.  I, Tonya was edited by Tatiana S. Riegel. 	I , Tonya was not written and directed by the same person .	2	I, Tonya was written and directed by the same person.	0
1606	T2692	GW1	 The density of Tbilisi is 3,194.38/km 2  (8,273.4/sq mi).  The metro area of Tbilisi is 1,485,293.  The area code(s) of Tbilisi is +995 32.  The capital city of Tbilisi are Population: 1,158,700 (2018), Area: 504.2 km2 (194.7 sq mi). 	Tbilisi doesn't have over 1 . 5 million people in the metro area .	2	Tbilisi has over 1.5 million people in the metro area.	0
964	T594	GW51	 Clint Eastwood was born as Clinton Eastwood Jr. ,  (1930-05-31) May 31, 1930 (age 88) , San Francisco, California, U.S..  The other political affiliations of Clint Eastwood was on Independent (1974-1997), Republican (before 1952 - 1974).  The domestic partner of Clint Eastwood is Sondra Locke  , ( c. 1975;  sep. 1989) , Frances Fisher  , ( c. 1990;  sep. 1995).  The children of Clint Eastwood are Undetermined number, including  with Roxanne Tunis:, -Kimber Tunis ( b. 1964), with Johnson:, -Kyle Eastwood ( b. 1968), -Alison Eastwood ( b. 1972), with Jacelyn Reeves:, -Scott Eastwood ( b. 1986), -Kathryn Reeves ( b. 1988), with Fisher:, -Francesca Eastwood ( b. 1993), with Ruiz:, -Morgan Eastwood ( b. 1996), by a woman who declines to be identified:, Laurie Murray (b. 1954). 	Clint Eastwood has not been the governor of California .	2	Clint Eastwood has been the governor of California.	0
861	T545	GW12	 The origin of Clean Bandit is Cambridge, Cambridgeshire, England.  The genres of Clean Bandit are Electronic, classical crossover, electropop, dance-pop.  The labels of Clean Bandit are Atlantic, Black Butter.  The associated acts of Clean Bandit are Jess Glynne, Marina, Anne-Marie. 	Clean Bandit is not a country music group originating in England .	2	Clean Bandit is a country music group originating in England.	0
161	T1464	GW84	   John James Rickard Macleod, FRS is a person.  John James Rickard Macleod, FRS was born on ( 1876-09-06 ) 6 September 1876  Clunie, Perthshire, Scotland.  John James Rickard Macleod, FRS died on 16 March 1935 (1935-03-16)  (aged 58)  Aberdeen, Scotland.  The awards of John James Rickard Macleod, FRS is Nobel Prize in Physiology or Medicine (1923).   	John James Rickard Macleod didn't die in a country outside of where he was born .	2	John James Rickard Macleod died in a country outside of where he was born.	0
1457	T1370	GW27	 The occupation of Bruno Mars are Singer, songwriter, record producer, dancer.  The genres of Bruno Mars are R&B, funk, pop, soul, reggae, rock, hip hop.  The labels of Bruno Mars are Universal Motown, Atlantic, Elektra.  The associated acts of Bruno Mars are The Smeezingtons, Shampoo Press & Curl, The Hooligans, Mark Ronson, Jeff Bhasker, Andrew Wyatt. 	Bruno Mars hadn't had his biggest success with Universal Motown .	1	Bruno Mars had had his biggest success with Universal Motown.	1
172	T1480	GW1	"   John McCain is a person.  The years of service of John McCain was on 1958-1981.  The battles/wars of John McCain are Vietnam War (POW), Operation Rolling Thunder (WIA).  The awards of John McCain are Silver Star, Bronze Star Medal (3) with Combat ""V"", Purple Heart, Legion of Merit (2) with Combat ""V"", Distinguished Flying Cross, Navy and Marine Corps Commendation Medal (2) with Combat ""V"", Others.    "	John McCain didn't serve for more than two decades .	0	John McCain served for more than two decades.	2
425	T190	GW4	 Chew has a Monthly schedule.  The format of Chew is Ongoing series.  The publication date of Chew was on June   2009 - November   2016.  The no. of issues of Chew is 60. 	Chew hasn't had only 20 issues released .	2	Chew has had only 20 issues released.	0
1912	T2497	GW31	 The productioncompanies of Monty Python and the Holy Grail are Python (Monty) Pictures, Michael White Productions, National Film Trustee Company.  Monty Python and the Holy Grail was distributed by EMI Films (UK), Cinema 5 (US).  The release date of Monty Python and the Holy Grail are 3 April 1975 (1975-04-03) (United Kingdom), 27 April 1975 (1975-04-27) (United States).  Monty Python and the Holy Grail is a movie. 	Monty Python and the Holy Grail was not the highest grossing film in 1975 .	1	Monty Python and the Holy Grail was the highest grossing film in 1975.	1
699	T960	GW51	 Cafe Terrace at Night is a painting.  The artist of Cafe Terrace at Night is Vincent van Gogh.  The medium of Cafe Terrace at Night is Oil on canvas.  The location of Cafe Terrace at Night is Kroller-Muller Museum, Otterlo.  	Van Gough's CafŽ Terrace at Night was not his last painting before he cut off his ear .	1	Van Gough's CafŽ Terrace at Night was his last painting before he cut off his ear.	1
454	T155	GW0	 Pandit Jawaharlal Nehru was born on 14 November 1889 ( 1889-11-14 )  Allahabad, North-Western Provinces, British India   (present-day Uttar Pradesh, India).  Pandit Jawaharlal Nehru died on 27 May 1964 (1964-05-27)  (aged 74) New Delhi, Delhi, India.  The cause of death of Pandit Jawaharlal Nehru is Heart attack.  The spouse(s) of Pandit Jawaharlal Nehru is Kamala Nehru ( m.  1916; died 1936). 	Jawaharlal Nehru didn't die in the same country he was born .	0	Jawaharlal Nehru died in the same country he was born.	2
198	T688	GW28	   The born of Dennis Gabor is Günszberg Dénes , (1900-06-05)5 June 1900 , Budapest, Kingdom of Hungary.  Dennis Gabor died on 9 February 1979(1979-02-09) (aged 78) , London, England.  The spouse(s) of Dennis Gabor is Marjorie Louise Butler ( m. 1936) (1911-1981).  The awards of Dennis Gabor was on FRS (1956), Young Medal and Prize (1967), Rumford Medal (1968), IEEE Medal of Honor (1970), Nobel Prize in Physics (1971).   	Dennis Gabor was not a 20th century Nobel Price winning Physicist . .	0	Dennis Gabor was a 20th century Nobel Price winning Physicist..	2
541	T1005	GW6	 The Cardsharps is a painting.  The artist of The Cardsharps is Caravaggio.  The medium of The Cardsharps is Oil on canvas.  The location of The Cardsharps is Kimbell Art Museum, Fort Worth.  	The Kimbell Art Museum doesn't have many oil paintings .	1	The Kimbell Art Museum has many oil paintings.	1
777	T706	GW35	 Diana and Callisto is a painting.  The artist of Diana and Callisto is Titian.  The medium of Diana and Callisto is Oil on canvas.  The location of Diana and Callisto is The National Gallery, London and The National Gallery of Scotland, Edinburgh.  	Diana and Callisto is not a watercolor painting .	2	Diana and Callisto is a watercolor painting.	0
1089	T1832	GW93	 The doctoral advisor of Ivan Pului was on August Kundt.   Ivan Pului was born on 2 February 1845  Hrymayliv, Austrian Empire (present-day Ukraine).  Ivan Pului died on 31 January 1918 (aged 72)  Prague, Austria-Hungary (present-day Czech republic).  Ivan Pului was known for X rays. 	Ivan Pului didn't die in his 40s .	2	Ivan Pului died in his 40s.	0
