index	table_id	annotator_id	premise	hypothesis	label
10	T58	GW1	 The parent(s) of John Kay are Robert Kay and Ellin Kay, nee Entwisle.   John Kay was born on 17 June (N.S 28 June) 1704  Walmersley, Bury, Lancashire, England.  John Kay died on circa 1779  France.  The children of John Kay is Lettice, Robert (drop box inventor), Ann, Samuel, Lucy, James, John, Alice, Shuse, William, (and two other children who died in childhood). 	John Kay lived in England and Cayman Islands his whole life.	1
335	T1494	GW14	   The institutions of Kees Schouhamer Immink are Turing Machines Inc, Philips Research Laboratories, Institute for Experimental Mathematics, National University of Singapore.   Kees Schouhamer Immink was born on ( 1946-12-18 )  December 18, 1946  (age 72)   Rotterdam, Netherlands.  The residence of Kees Schouhamer Immink is Netherlands.  The alma mater of Kees Schouhamer Immink is Eindhoven University of Technology.   	Kees Schouhamer Immink was not affiliated with an education entity in Asia .	0
556	T1335	GW12	 Britt Robertson was born as Brittany Leanna Robertson ,  (1990-04-18) April 18, 1990 (age 28) , Charlotte, North Carolina, U.S..  The residence of Britt Robertson is Los Angeles, California.  The occupation of Britt Robertson is Actress.  The home town of Britt Robertson is Greenville, South Carolina, U.S..  	Altamonte Springs, South Carolina is the residence of Britt Robertson.	0
832	T769	GW4	 Coheed and Cambria is a musician.  The genres of Coheed and Cambria are Progressive rock, alternative rock, progressive metal, emo.  The labels of Coheed and Cambria are 300, Roc Nation, Evil Ink, Hundred Handed/Everything Evil, B-Unique, Columbia, Equal Vision, Roadrunner, Sony.  The associated acts of Coheed and Cambria are The Prize Fighter Inferno, Davenport Cabinet, Weerd Science, Fire Deuce, 3. 	The band Coheed and Cambria hasn't published several albums .	1
798	T427	GW27	 Composition with Red Blue and Yellow is a painting.  The artist of Composition with Red Blue and Yellow is Piet Mondrian.  The type of Composition with Red Blue and Yellow is Oil and paper on canvas.  The location of Composition with Red Blue and Yellow is National Museum, Belgrade, Serbia.  	'Composition with Red Blue and Yellow' was not Piet Mondrian's final oil .	1
711	T1973	GW86	 The owner of Imperial Commander is Our Friends in the North.  The trainer of Imperial Commander is Nigel Twiston-Davies.  Imperial Commander died on 6 April 2017 (aged 16).  The country of Imperial Commander is Ireland. 	Imperial Commander spent his entire life in Kazakhstan.	1
1145	T1823	GW93	" In the Zone was released on November 12, 2003  ( 2003-11-12 ).  The studio of In the Zone are Battery Studios, The DOJO (New York City, New York), The Chocolate Factory (Chicago, Illinois), Triangle Sound Studios (Atlanta, Georgia), 3:20 Studios, Record Plant (Los Angeles, California), Pacifique Studios (North Hollywood, California), Westlake Recording Studios (West Hollywood, California), Decoy Studios (Studio City, California), Metrophonic Studios, Olympic Studios (London, England), Murlyn Studios (Stockholm, Sweden).  The length of In the Zone is 50:00.  The producer of In the Zone are Bloodshy & Avant, Brian and Josh, Roy ""Royalty"" Hamilton, Jimmy Harry, Penelope Magnet, Moby, The Matrix, R. Kelly, Rishi Rich, Guy Sigsworth, Shep Soloman, Mark Taylor, Trixster.  "	In the Zone doesn't have a running time of less than an hour .	0
1316	T928	GW14	   Charlie and the Chocolate Factory was screenplay by John August.  The release date of Charlie and the Chocolate Factory are July 10, 2005 (2005-07-10) (Grauman's Chinese Theatre), July 15, 2005 (2005-07-15) (United States), July 29, 2005 (2005-07-29) (United Kingdom).  Charlie and the Chocolate Factory was starring Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor, Missi Pyle, James Fox, Deep Roy, Christopher Lee.  The country of Charlie and the Chocolate Factory are United States, United Kingdom, Australia.   	Several of the actors in Charlie and the Chocolate Factory were from Burundi.	1
1238	T1348	GW27	 The criteria for collection of Other information is Suecana: publications published, broadcast or recorded in Sweden or  by Swedish originator or concerning Sweden.  The country of Other information is Sweden.  The access requirements of Other information is Free. Registration for loans: be Swedish resident or citizen over 18. (Audiovisual may only be accessed for research purposes).  The reference to legal mandate of Other information is The Government Approval Document for The Swedish National Library (available in Swedish). 	Kungliga biblioteket is not Sweden's oldest library .	1
579	T587	GW28	 Demon Days is a album.  Demon Days was released on 11 May 2005.  Demon Days was studio on Studio 13, London.  The producer of Demon Days are Gorillaz, Danger Mouse, Jason Cox, James Dring.  	Demon Days is a studio album produced by no one of note.	0
