index	table_id	annotator_id	premise	hypothesis	label	unperturbed_hypothesis	original_label
1675	T1784	GW84	   The artist of Interior is Edgar Degas.  The year of Interior is 1868-1869.  The dimensions of Interior is 81.3 cm 114.3 cm (32 in 45 in).  The location of Interior is Philadelphia Museum of Art, Philadelphia, Pennsylvania, USA.    	Inetrior has been ni Philadelphia for over tewnty yeGrs.	1	Interior has been in Philadelphia for over twenty years.	1
76	T74	GW0	   Katharine McPhee is a musician.  The genres of Katharine McPhee are Pop, R&B.  The occupation(s) of Katharine McPhee are Actress, singer, songwriter.  The years active of Katharine McPhee was on 2005 - present.   	KathLarine SMcPhee writes evrey song that Mshe performs.	1	Katharine McPhee writes every song that she performs.	1
1727	T1861	GW28	   Iceland  was extended home rule  on 1 February 1904.  Iceland  was sovereignty danish–icelandic act of union on 1 December 1918.  Iceland  was republic  on 17 June 1944.   Iceland  was constitution and limited home rule minister for iceland appointed on 5 January 1874.   	Icelnad is a constitutional onarchy.	0	Iceland is a constitutional monarchy.	0
793	T805	GW6	   Culture was released on January 27, 2017 (2017-01-27).  Culture was recorded on 2016.  The label of Culture are 300, Quality Control, YRN.  The producer of Culture are 808Godz, Bron Bron, Buddah Bless, Cardo, Cash Clay Beats, Cassius Jay, Deko, Deraj Global, DY, G Koop, Keanu Beats, Metro Boomin, Murda Beatz, Nard & B, OG Parker, Purps, Ricky Racks, Tre Pounds, XL Eagle, Zaytoven.    	Twent producres lal worked together on Culture.	1	Twenty producers all worked together on Culture.	1
21	T14	GW4	   Flatliners is a movie.  The production company of Flatliners is Stonebridge Entertainment.  The budget of Flatliners is $26 million.  In the box office, Flatliners made $61.3 million.    	Flatliners wax a film that ws ablL tf nyt money at thCe ox office.	2	Flatliners was a film that was able to net money at the box office.	2
1722	T1861	GW93	   Iceland  was extended home rule  on 1 February 1904.  Iceland  was sovereignty danish–icelandic act of union on 1 December 1918.  Iceland  was treaty of kiel ceded to denmark on 14 January 1814.  Iceland  was constitution and limited home rule minister for iceland appointed on 5 January 1874.   	Iceland got sovereignty ni 1940.	2	Iceland got sovereignty in 1904.	2
898	T848	GW51	   The production company of Dear White People are Code Red Films, Duly Noted, Homegrown Pictures.  Dear White People was distributed by Lionsgate, Roadside Attractions.  The release date of Dear White People are January 18, 2014 (2014-01-18) (Sundance Film Festival), October 17, 2014 (2014-10-17) (United States).  Dear White People was produced by Effie Brown, Ann Le, Julia Lebedev, Angel Lopez, Justin Simien, Lena Waithe.   	Dear Wjite Peple is a very popular show to streaA on Neftlix since ebing origiTnally shokn at tue Sndance Film FeKstival.	1	Dear White People is a very popular show to stream on Netflix since being originally shown at the Sundance Film Festival.	1
221	T310	GW21	   Christchurch is a city.  The territorial authority of Christchurch is Christchurch City Council.  The wards of Christchurch are Banks Peninsula  , Burwood , Cashmere , Central , Coastal , Fendalton , Halswell , Harewood , Heathcote , Hornby , Innes , Linwood , Papanui , Riccarton , Spreydon , Waimairi.  The named for of Christchurch is Christ Church, Oxford.    	Christ Church waRs thhe scene of a lrge SWorld Wr II Naavl battle.	0	Christ Church was the scene of a large World War II Naval battle.	0
1389	T1544	GW84	   Johnny Cash was born on ( 1932-02-26 ) February 26, 1932  Kingsland, Arkansas, U.S..  Johnny Cash died on September 12, 2003 (2003-09-12)  (aged 71)  Nashville, Tennessee, U.S..  The associated acts of Johnny Cash are The Tennessee Three, The Highwaymen, Million Dollar Quartet, June Carter Cash, The Statler Brothers, The Carter Family, The Oak Ridge Boys, Bob Dylan, Merle Haggard, Glen Campbell, Tom Petty and the Heartbreakers, U2.  The spouse(s) of Johnny Cash are Vivian Liberto ( m.  1954;  div.  1966), June Carter ( m.  1968; died  2003 ).   	JohnnUy Cash was i ihs seventies when he ided.	2	Johnny Cash was in his seventies when he died.	2
729	T790	GW14	   Republic of Cuba was declaration of independence on 10 October 1868.  Republic of Cuba was war of independence on 24 February 1895.  Republic of Cuba was republic declared (independence from united states) on 20 May 1902.  The cuban revolution of Republic of Cuba is 26 July 1953 - 1 January 1959.   	Cuba's War of Indepnedence wab wage nearly jhree deacdes after ibts Declaration of Indeendence.	2	Cuba's War of Independence was waged nearly three decades after its Declaration of Independence.	2
636	T738	GW51	   Cockerel Faberge egg is a painting.  The materials used of Cockerel Faberge egg are gold,  diamond,  rubies,  pearls,  enamel.  The height of Cockerel Faberge egg is 20.3 cm (open).  The surprise of Cockerel Faberge egg is A moving bird.    	ThS Cockerel FabergŽ egFg i a godl adn diamod infuseOd object about half a fot tall.	2	The Cockerel FabergŽ egg is a gold and diamond infused object about half a foot tall.	2
1330	T1502	GW4	   Karl Ferdinand Braun is a person.  Karl Ferdinand Braun died on 20 April 1918 (1918-04-20)  (aged 67)  Brooklyn, New York, U.S..  The alma mater of Karl Ferdinand Braun are University of Marburg, University of Berlin.  Karl Ferdinand Braun was known for Cathode ray tube, Cat's whisker diode.   	Karl Fedinand HBraun nejer got Fto see a TV.	1	Karl Ferdinand Braun never got to see a TV.	1
77	T74	GW0	   Katharine McPhee was born on ( 1984-03-25 )  March 25, 1984  (age 34)  Los Angeles, California, U.S..  The occupation(s) of Katharine McPhee are Actress, singer, songwriter.  The years active of Katharine McPhee was on 2005 - present.  The labels of Katharine McPhee are 19, RCA, Verve Forecast, Columbia, BMG.   	Katharine McPhee ahs been actinAg oveI twnety years.	0	Katharine McPhee has been acting over twenty years.	0
265	T340	GW2	   Jennifer Love Hewitt was born on February 21, 1979  ( 1979-02-21 )  (age 39)   Waco, Texas, United States.  The years active of Jennifer Love Hewitt was on 1989 - present (actress) , 1992 - 2003 (singer).  Jennifer Love Hewitt was known for Party of Five  , Ghost Whisperer.  The spouse(s) of Jennifer Love Hewitt is Brian Hallisay ( m.  2013).   	Jennifer Lbve HNewitt wAs in Party of Fvie in 9198.	1	Jennifer Love Hewitt was in Party of Five in 1998.	1
