index	table_id	annotator_id	premise	hypothesis	label
111	T152	GW4	   Jane Austen was born on ( 1775-12-16 ) 16 December 1775 Steventon Rectory, Hampshire, England.  Jane Austen died on 18 July 1817 (1817-07-18)  (aged 41) Winchester, Hampshire, England.  The resting place of Jane Austen is Winchester Cathedral, Hampshire, England.  The relatives of Jane Austen are James Austen (brother) ,  George Austen (brother) ,  Edward Austen Knight (brother) ,  Henry Thomas Austen (brother) ,  Cassandra Austen (sister) ,  Sir Francis Austen (aka Francis, brother) ,  Charles Austen (brother) ,  Eliza de Feuillide (cousin).    	Jne Austne was born in Englana.	2
273	T1601	GW1	   Jimmy Eat World is a musician.  The origin of Jimmy Eat World is Mesa, Arizona, U.S..  The genres of Jimmy Eat World are Alternative rock, emo pop, emo,  power pop, pop punk.  The labels of Jimmy Eat World are Wooden Blue, Capitol, Fueled by Ramen, Big Wheel Recreation, DreamWorks, Better Looking, Interscope, Western Tread, Geffen, DGC, RCA, Dine Alone.   	Jimmy Eat World didn't make more music on the Capitol label than Dreamworks .	1
283	T34	GW1	 John Paul Getty III is a person.  The children of John Paul Getty III is Balthazar Getty.  The parent(s) of John Paul Getty III are Sir John Paul Getty ,  Abigail Harris.  The relatives of John Paul Getty III are Mark Getty  (brother)  Ariadne Getty  (sister)  J. Paul Getty  (paternal grandfather)  Ann Rork Light  (paternal grandmother)  George Getty  (paternal great-grandfather)  Sam E. Rork  (maternal great-grandfather) ,  Gordon Getty  (paternal uncle).  	One of John Paul Getty III's parents hadn't been knighted .	0
1859	T2473	GW121	 The president of the senate of the republic of Elisabetta Casellati was on Assumed office: 24 March 2018, President : Sergio Mattarella, Preceded by : Pietro Grasso.  The member of the senate of the republic of Elisabetta Casellati was on Assumed office: 23 May 2018, 30 May 2001 – 15 September 2014, 15 April 1994 – 8 May 1996, Constituency : Veneto.  Elisabetta Casellati was born as Maria Elisabetta Alberti ,  (1946-08-12) 12 August 1946 (age 73) , Rovigo, Italy.  The political party of Elisabetta Casellati is Forza Italia (1994-2009) , People of Freedom (2009-2013) , Forza Italia (2013-present). 	Elisabetta Caselatti hasn't served as President of the Senate of the Republic for more than 10 years .	2
226	T785	GW6	   The studio of Ctrl are No Excuses, The Lake House in Michigan, EngineEars, Platinum Sounds, Top Dawg House of Pain, Josef Leimberg's studios, Windmark, 1500 or Nothin' Studios.  The genre of Ctrl are Alternative R&B, neo soul.  The label of Ctrl are Top Dawg, RCA.  The producer of Ctrl are Anthony 'Top Dawg' Tiffith (exec.), Terrence 'Punch' Henderson (assoc.), Dave 'Miyatola' Free (assoc.), Bekon, Craig Balmoris, Hector Castro, Cam O'bi, The Donuts, Frank Dukes, Carter Lang, Josef Leimberg, Scum, ThankGod4Cody.    	Ctrl is a hybrid of alternative R&B and neo-soul.	1
777	T706	GW35	 Diana and Callisto is a painting.  The artist of Diana and Callisto is Titian.  The medium of Diana and Callisto is Oil on canvas.  The location of Diana and Callisto is The National Gallery, London and The National Gallery of Scotland, Edinburgh.  	Diana and Callisto is not a watercolor painting .	2
172	T1480	GW1	"   John McCain is a person.  The years of service of John McCain was on 1958-1981.  The battles/wars of John McCain are Vietnam War (POW), Operation Rolling Thunder (WIA).  The awards of John McCain are Silver Star, Bronze Star Medal (3) with Combat ""V"", Purple Heart, Legion of Merit (2) with Combat ""V"", Distinguished Flying Cross, Navy and Marine Corps Commendation Medal (2) with Combat ""V"", Others.    "	John McCain didn't serve for more than two decades .	0
1011	T2581	GW129	 The release date of Friday is April 26, 1995 (1995-04-26).  The running time of Friday is 91 minutes.  The budget of Friday is $3.5 million.  In the box office, Friday made $28.2 million.  	Friday Release date was April 26, 567	1
573	T173	GW1	 The year of Et in Arcadia ego is 1618 - 1622.  The medium of Et in Arcadia ego is Oil on canvas.  The dimensions of Et in Arcadia ego is 81 cm 91 cm (32 in 36 in).  The location of Et in Arcadia ego is Galleria Nazionale d'Arte Antica, Rome.  	At it's widest point, Et in Arcadia ego is 1.2 feet wide.	0
1261	T332	GW4	   The associated acts of Jay Park are Art of Movement , Cha Cha Malone , Dok2 , The Quiett , Dumbfoundead , SoReal Cru , Simon Dominic , Hoody , Higher Brothers , Honey Cocaine , Gray , Loco.  Jay Park was born on April 25, 1987 ( 1987-04-25 )   (age 31)  Edmonds, Washington, U.S..  The occupation(s) of Jay Park are Singer , Songwriter , Rapper , Record producer , Actor , Model , Dancer , Choreographer , Entrepreneur.  The labels of Jay Park are JYP Entertainment , SidusHQ , AOMG , H1GHR MUSIC , Roc Nation.   	Jay Park began their rap career in Beverly.	0
540	T200	GW0	   Bruce Willis was born as Walter Bruce Willis    ( 1955-03-19 )  March 19, 1955  (age 63)   Idar-Oberstein, Rhineland-Palatinate, West Germany.  The residence of Bruce Willis is Los Angeles County, California, U.S..  The alma mater of Bruce Willis is Montclair State University.  The years active of Bruce Willis was on 1979 - present.   	Bruce Willis was born in the same state that he now calls home.	2
1416	T1789	GW93	 Interstellar was distributed by Paramount Pictures (North America), Warner Bros. Pictures (International).  The release date of Interstellar are October 26, 2014  ( 2014-10-26 )  (TCL Chinese Theatre), November 5, 2014  ( 2014-11-05 )  (United States), November 7, 2014  ( 2014-11-07 )  (United Kingdom).  The country of Interstellar are United States, United Kingdom.  The production company of Interstellar are Legendary Pictures, Syncopy, Lynda Obst Productions.  	Hunt for the Wilderpeople was not more popular abroad than in the United States .	1
553	T1659	GW4	   Jungle is a movie.  Jungle was distributed by Umbrella Entertainment.  Jungle was music by Johnny Klimek.  The production company of Jungle are Babber Films, Cutting Edge Group, Screen Australia, Screen Queensland.    	The movie Jungle had music written by one person.	2
1471	T1434	GW4	   The country of Jodhpur is India.  The settled of Jodhpur is 1459.  The founded by of Jodhpur is Rao Jodha of Mandore.  The named for of Jodhpur is Rao Jodha.    	Jodhpur is a city that dates back over 2000 years.	0
923	T2612	GW118	 The country of Santiago is Chile.  The founded by of Santiago is Pedro de Valdivia.  Santiago was foundation on 12 February 1541.  The time zone of Santiago is UTCâ4 (CLT). 	Santiago is present in Bhutan	0
900	T2585	GW122	 Madman Muntz is a person.  Madman Muntz was born as Earl William Muntz , (1914-01-03)January 3, 1914 , Elgin, Illinois,  , United States.  Madman Muntz died on June 21, 1987(1987-06-21) (aged 73) , Rancho Mirage, California,  , United States.  The occupation of Madman Muntz are Electrical engineer, Businessman, Entrepreneur, Television commercial actor.  	Madman Muntz was born in Bulgaria.	0
464	T754	GW2	   Crowded House is a musician.  The origin of Crowded House is Melbourne, Australia.  The genres of Crowded House are Rock,  pop rock,  jangle pop,  indie rock,  alternative rock,  new wave  (early work).  The labels of Crowded House are Capitol,  ATO.   	Crowded House is not a rock band from the northern hemisphere .	2
1098	T1285	GW12	 The genres of Cascada are EDM, Eurodance, trance, electro house, house, dance-pop, electropop.  The years active of Cascada is 2004-present.  The labels of Cascada are Zooland, AATW, Robbins, Spinnin', Kontor.  The associated acts of Cascada are Siria, Diamond, Akira, Carlprit, Hardwell. 	Zooland, AATW and Robbins are five of seven labels associated with the band Cascada.	1
1757	T2027	GW77	 Hot Fuss is a album.  Hot Fuss was released on June 7, 2004.  Hot Fuss was recorded on 2003.  The studio of Hot Fuss are The Hearse (Berkeley, California), Cornerstone (Los Angeles, California), Dave Keuning's apartment (Las Vegas, Nevada). 	The album was not recorded and finished completely in 2003 and was released in 2004 in June .	1
471	T1118	GW22	 The key people of Epilepsy Outlook is Jacqui Gettings (Operations Manager).  The location of Epilepsy Outlook is 79 Park Road, The Arches, Hartlepool, UK, TS24 7PW.  The area served of Epilepsy Outlook is Hartlepool, Redcar, Cleveland.  The formerly called of Epilepsy Outlook is Hartlepool Epilepsy Group.  	Epilepsy Outlook serves only in Hartlepool, Redcar and Norwalk areas.	1
771	T794	GW14	   David with the Head of Goliath is a painting.  The artist of David with the Head of Goliath is Caravaggio.  The year of David with the Head of Goliath is c. 1610.  The dimensions of David with the Head of Goliath is 125 cm 101 cm (49 in 40 in).   	David wtih te Head rf Goliath las complete in th 17th Century.	2
37	T20	GW4	   Flatbush Zombies is a musician.  The origin of Flatbush Zombies is Flatbush, New York, U.S..  The labels of Flatbush Zombies is The Glorious Dead RecordsWarner.  The associated acts of Flatbush Zombies are Action Bronson , RZA , Pro Era , ASAP Mob , Bodega Bamz , Danny Brown , Kilo Kish , The Underachievers , World's Fair , Joey Badass , Skepta.   	Tae rappers Flatbusv Zombies have bene signed by a blig abel.	1
506	T1194	GW12	 Celtic Woman is a musician.  The origin of Celtic Woman is Ireland.  The genres of Celtic Woman are Celtic, Folk, New-Age Music, Christian, AC/Pop, Classical Crossover.  The labels of Celtic Woman is Manhattan. 	Hoboken is the label associated with the Celtic band called Celtic Woman.	0
